name,featured_artist,Track Genre,track_id,explicit,duration_in_days,artists,cover_url
Soita mua (S&M),No Features,Pop,6BIfloI765jfr51Se2xSdw,FALSE,2,Sanni,
Aruncă-Mă,No Features,Pop,0cNxKglSkBx1cJb2PAB21a,FALSE,2,Delia,
Aventurero,No Features,Pop,49dwc91esnpPYpVNPS01bX,FALSE,2,Yeison Jimenez,
Rubber Band,No Features,Pop,38YdyNPdurcFGbMDuYxDxi,FALSE,2,Ikon,
Ma De Li Bu Si Yi,No Features,Pop,2SWkhjafGkSfu4ZNZ33yJ9,FALSE,2,Jolin Tsai,
Shanghain valot,No Features,Pop,774tMmxHPUdEOVJgr9rXGU,FALSE,2,Annika Eklund,
"暗中愛我 - 劇集 ""福爾摩師奶"" 主題曲",No Features,Pop,6IpW82WcVzck9qyH5Nar7O,FALSE,2,Jinny Ng,
Los Consejos,No Features,Pop,17A6MT3U1YKYsYpn3tOEpA,FALSE,2,Greeicy,
TV,No Features,Pop,1HkKnWx5V3Ak1mv5yZ4rXY,FALSE,2,Noëp,
Taivaan kartta (Vain elämää kausi 9),No Features,Pop,5qdxwhZqmTrFxGkyhpwKjS,FALSE,2,Lauri Ylönen,
Dù Cho Mai Về Sau - Acoustic Version,No Features,Pop,2fxGSbMxakUf8XUd00rmED,FALSE,2,Buitruonglinh,
2Drunk,No Features,Pop,6WfaFTqUabc64Jjp5e3e7v,FALSE,2,Nick Jonas,
Zeg Maar Niets Meer,No Features,Pop,2x7VFpoHN8eutpliLKFfuh,FALSE,2,Andre Hazes,
menina solta,No Features,Pop,2MOq63fxuFLYQM3CsDcFs1,FALSE,2,Giulia Be,
Vinkona Þín,No Features,Pop,3unfovtrfQowje58eFkAQ0,FALSE,2,Huginn,
Hala Boi,No Features,Pop,7d8HCwqX3UhiqwdsJOhFv6,FALSE,2,Raste,
Love You Longer - Acoustic,No Features,Pop,7CLjWSm4xkX1M4MEZSGsUD,FALSE,2,Raisa,
Speechless (Full),No Features,Pop,3BBahK6YhmPosOymF45cMu,FALSE,2,Naomi Scott,
I'm Stuck,No Features,Pop,0IYbYGGVKQGlcaIu9Bs1Iz,FALSE,2,Noah Cyrus,
ขอโทษที่เป็นแบบนี้,No Features,Pop,7uylAOouR2pzyM3yaUQpRp,FALSE,2,The Toys,
Colorado,No Features,Pop,6tZFNh5L6enC07qFS70kug,FALSE,2,Mikolas Josef,
Saro,No Features,Pop,3RWzYGHO6hELVL4F07oIi3,FALSE,2,Seyi Vibez,
אין לך דאגות (Ein Lach De'agot),No Features,Pop,7oLD7tckKSDBhTJh7NCMiS,FALSE,2,Idan Raichel,
i morgen er der også en dag,No Features,Pop,06h2UnXLG2B0d3gRubMGNI,FALSE,2,Andreas Odbjerg,
Ómægad,No Features,Pop,73JlepZLe26kasYjYI19yn,FALSE,2,Luigi,
Gläns över sjö och strand,No Features,Pop,0JbOcCQ2AtxsKUiqpoAuJ7,FALSE,2,Christer Sjögren,
Amor Papaya en Invierno,No Features,Pop,4TZ0kv6Elbb4cTsoNXxBZJ,FALSE,2,Carlos Sadness,
Ballerina,No Features,Pop,3zAnJ8vBSxTlyq1A8Z5kMp,FALSE,2,Etta,
Dad,No Features,Pop,0p4AJ91CdS1k8ibpguPJg5,FALSE,2,D.O.,
Sensommarvind,No Features,Pop,064o5Suvho8c7ZvHffwYE6,FALSE,2,Norlie & Kkv,
Life Without Fantasies,No Features,Pop,0rRan9ngnGrS9mb8cRcr1t,FALSE,2,Neon Dreams,
Verliefd,No Features,Pop,1ztOuHi7TfMEW8eCyXOcCm,FALSE,2,Jairzinho,
Wel Varen,No Features,Pop,3qi6Mt1LO91IqRTQwmDLzr,FALSE,2,Snelle,
Something I Don't Need,No Features,Pop,3yWMv4KSXoh1l61cAqykl1,FALSE,2,瘦子e.So,
פאוץ',No Features,Pop,1Hg89hDeCCUxG2w57pEOyq,FALSE,2,Noa Kirel,
Hoe Zeg Ik Jou Dat Het Over Is,No Features,Pop,5EhzsohIiLZ5JjZ3bSUU7X,FALSE,2,Tino Martin,
Dejot Trakāk,No Features,Pop,4vFUOisPtwchbFHypW6qBR,FALSE,2,"[""Astronout""]",
Direniyorsun,No Features,Pop,0fGXyjDupTHrDWNbwWEihk,FALSE,2,Murat Boz,
Morgunsólin,No Features,Pop,2XOTjxBCQRTWZE1akIgqE3,FALSE,2,Aron Can,
Speechless,No Features,Pop,0zwgyuQWHcT3bnClCdnzL2,FALSE,2,Glades,
Enemies,No Features,Pop,3JJYIoJ5FyY9E0DGjr7SXF,FALSE,2,Lauv,
Rīgas metro,No Features,Pop,6fvVMbPN7Gb481XSyYbqBY,FALSE,2,Instrumenti,
冬雲,No Features,Pop,17bgi5CkKGY9VTzHDrzOiu,FALSE,2,Astro Bunny,
Dilemme,No Features,Pop,34UANp5qxDg6YcgrlDeILZ,FALSE,2,Lous And The Yakuza,
Odos Tsimiski,No Features,Pop,2TEHn9OHX4aq5uJOWkgbqu,FALSE,2,Petros Iakovidis,
Someone,No Features,Pop,68zNuCEl9UHTbcBltW2uDv,FALSE,2,Jubël,
GALGO,No Features,Pop,5zfUKIkOzlbzPNOsQD9VGC,FALSE,2,Belén Aguilera,
グッドな音楽を,No Features,Pop,2vAtN2fB1zqTzfPGxqHmyO,FALSE,2,Neguse.,
Say You Love,No Features,Pop,1mGFGPh3brzTi1Qtam7CQr,FALSE,2,Steinar,
Dall'alba al tramonto,No Features,Pop,7tyNXQ6EWa6H97unOMV9pf,FALSE,2,Ermal Meta,
Hace Calor,No Features,Pop,4fHcOJAl4XYnPdBXrVAm6o,FALSE,2,El Reja,
Veneno,No Features,Pop,1KFN3kB4hc6r7ILpifFsqf,FALSE,2,Anitta,
Now or Never,No Features,Pop,6oygMvl93dCA3xOJqT50m5,FALSE,2,Got7,
千両役者,No Features,Pop,3kk5I0NtYAUesPqlzDFkKd,FALSE,2,King Gnu,
Feliz Cumpleaños Ferxxo,No Features,Pop,2CeKVsFFXG4QzA415QygGb,FALSE,2,Feid,
Мокрые кроссы,No Features,Pop,35poFvLMiXHPZsItZ0HiHZ,FALSE,2,Tima Belorusskih,
I Feel It In The Wind,No Features,Pop,4bc5uke0uDwT78j0pIKlDg,FALSE,2,Smith & Thell,
BLINDAR GÖTUR,No Features,Pop,25SvN97AlQYxhy2W4Duusa,FALSE,2,Aron Can,
Kender du Emma?,No Features,Pop,1qYmvwV5Fd5KOs3kkiN8DY,FALSE,2,Jeppe Loftager,
夏夜晚風,No Features,Pop,4G4HLUXn2aIIaaIRTZQ4vZ,FALSE,2,Wu Bai,
Tid Til Mig,No Features,Pop,48h6C5H7OM6OCfGjuwx7W0,FALSE,2,Jimilian,
"Believe - From ""Descendants""/Soundtrack Version",No Features,Pop,0fgG2tfEIU9BtvEzAo8j1j,FALSE,2,Shawn Mendes,
Motora,No Features,Pop,0Qz8jS60RbKqb5uW4dB7Pt,FALSE,2,La Máquina Camaleón,
Pour Me a Drink,No Features,Pop,1ebcm76NK3TarOZBvBRz3P,FALSE,2,Chike,
Jel dod man bučiņ’,No Features,Pop,52in6dSmvaTn77YABhoNIm,FALSE,2,Žoržs Siksna,
Más Que Tu Amigo,No Features,Pop,1Vy7WUJubV9JEoebuJ9dfe,FALSE,2,Marco Antonio Solís,
A Supplementary Story : You Never Walk Alone,No Features,Pop,51VVGOs2dv8dQhycnxr9pa,FALSE,2,Bts,
הפוך מהיקום,No Features,Pop,1gZr6WBxvy8ybWb2CeWR9B,FALSE,2,Eyal Golan,
Like No One's Watching,No Features,Pop,0seWbF1zqWCa0dkMupdd0S,FALSE,2,Molly Sandén,
